CODIGO,MODALIDAD,EDAD,CINTA_RANKING,GENERO,POSICION,ATLETA,PUNTAJE
C95,Combate,14-15 años,Purpura-Verde,Femenino,2,Johana Conde,400
C91,Combate,14-15 años,Purpura-Verde,Masculino,1,Omar Escalona,500
C91,Combate,14-15 años,Purpura-Verde,Masculino,2,Santiago Chacón,400
C102,Combate,16-17 años,Amarillo-Naranja,Femenino,1,Oriana Morgado,500
C104,Combate,16-17 años,Marron-Negro,Femenino,1,Paulina Fonseca,500
C103,Combate,16-17 años,Purpura-Verde,Femenino,1,Deiverly Ramirez,500
C05,Formas Manos Libres,4-5 años,Blanco-Celeste,Masculino,1,Alessandro Andrade,500
C05,Formas Manos Libres,4-5 años,Blanco-Celeste,Masculino,2,Adan Fragosa,400
C12,Formas Manos Libres,6-7 años,Amarillo en adelante,Femenino,1,Aurora Isea,500
C12,Formas Manos Libres,6-7 años,Amarillo en adelante,Femenino,2,Victoria Bastidas,400
C14,Formas Manos Libres,8-9 años,Amarillo-Naranja,Masculino,1,Joel Dorta,500
C14,Formas Manos Libres,8-9 años,Amarillo-Naranja,Masculino,2,Junior Tovar,400
C14,Formas Manos Libres,8-9 años,Amarillo-Naranja,Masculino,3,Estheban Acuña,300
C16,Formas Manos Libres,8-9 años,Blanco-Celeste,Femenino,1,Ivanna Garcia,500
C13,Formas Manos Libres,8-9 años,Blanco-Celeste,Masculino,1,Ebert Riera,500
C15,Formas Manos Libres,8-9 años,Verde-Negro,Masculino,1,Alexander Tamayo,500
C15,Formas Manos Libres,8-9 años,Verde-Negro,Masculino,2,Angelo Duran,400
C23,Formas Manos Libres,10-11 años,Amarillo-Naranja,Femenino,1,Aylin De Freitas,500
C21,Formas Manos Libres,10-11 años,Purpura-Negro,Masculino,1,Kevin Guerrero,500
C24,Formas Manos Libres,10-11 años,Verde-Negro,Femenino,1,Isabella Villalobos,500
C30,Formas Manos Libres,12-13 años,Amarillo-Naranja,Femenino,1,Rut Arteaga,500
C26,Formas Manos Libres,12-13 años,Amarillo-Naranja,Masculino,1,Derek Aguirre,500
C26,Formas Manos Libres,12-13 años,Amarillo-Naranja,Masculino,2,Matías Pérez,400
C26,Formas Manos Libres,12-13 años,Amarillo-Naranja,Masculino,3,Josué Rojas,300
C29,Formas Manos Libres,12-13 años,Blanco-Celeste,Femenino,1,Carla Rojas,500
C29,Formas Manos Libres,12-13 años,Blanco-Celeste,Femenino,2,Irisbeth Blanco,400
C25,Formas Manos Libres,12-13 años,Blanco-Celeste,Masculino,1,Kevin Navas,500
C25,Formas Manos Libres,12-13 años,Blanco-Celeste,Masculino,2,Leonardo Contreras,400
C32,Formas Manos Libres,12-13 años,Purpura-Negro,Femenino,1,Aranza López,500
C28,Formas Manos Libres,12-13 años,Purpura-Negro,Masculino,1,Leandro Guillen,500
C38,Formas Manos Libres,14-15 años,Amarillo-Naranja,Femenino,1,María Colmenares,500
C34,Formas Manos Libres,14-15 años,Amarillo-Naranja,Masculino,1,David Bello,500
C34,Formas Manos Libres,14-15 años,Amarillo-Naranja,Masculino,2,Angel Urbina,400
C94,Combate,14-15 años,Amarillo-Naranja,Femenino,1,Paola Montero,500
C94,Combate,14-15 años,Amarillo-Naranja,Femenino,2,María Colmenares,400
C90,Combate,14-15 años,Amarillo-Naranja,Masculino,1,Ángel Urbina,500
C90,Combate,14-15 años,Amarillo-Naranja,Masculino,2,Samuel Ortiz,400
C90,Combate,14-15 años,Amarillo-Naranja,Masculino,3,David Bello,300
C33,Formas Manos Libres,14-15 años,Blanco-Celeste,Masculino,1,Rodrigo Domingo,500
C40,Formas Manos Libres,14-15 años,Marron-Negro,Femenino,1,Yulimar Herrera,500
C40,Formas Manos Libres,14-15 años,Marron-Negro,Femenino,2,Antonella Dos Santos,400
C96,Combate,14-15 años,Marron-Negro,Femenino,1,Yulimar Herrera,500
C96,Combate,14-15 años,Marron-Negro,Femenino,2,Anthonella Do Santos,400
C39,Formas Manos Libres,14-15 años,Purpura-Verde,Femenino,1,Johana Conde,500
C39,Formas Manos Libres,14-15 años,Purpura-Verde,Femenino,2,Josmary Olivero,400
C35,Formas Manos Libres,14-15 años,Purpura-Verde,Masculino,1,Santiago Chacón,500
C35,Formas Manos Libres,14-15 años,Purpura-Verde,Masculino,2,Omar Escalona,400
C46,Formas Manos Libres,16-17 años,Amarillo-Naranja,Femenino,1,Oriana Morgado,500
C42,Formas Manos Libres,16-17 años,Amarillo-Naranja,Masculino,1,Oscar Valero,500
C98,Combate,16-17 años,Amarillo-Naranja,Masculino,1,Oscar Valero,500
C41,Formas Manos Libres,16-17 años,Blanco,Masculino,1,Raúl Pérez,500
C41,Formas Manos Libres,16-17 años,Blanco,Masculino,2,Daniel Díaz,400
C48,Formas Manos Libres,16-17 años,Marron-Negro,Femenino,1,Paulina Fonseca,500
C47,Formas Manos Libres,16-17 años,Purpura-Verde,Femenino,1,Deiverly Ramírez,500
C99,Combate,16-17 años,Purpura-Verde,Masculino,1,Jeinerson Mendoza,500
C43,Formas Manos Libres,16-17 años,Purpura-Verde,Masculino,1,Jeinerson Mendoza,500
C44,Formas Manos Libres,16-17 años,Marron-Negro,Masculino,1,Diemer Zabala,500
C100,Combate,16-17 años,Marron-Negro,Masculino,1,Diemer Zabala,500
C50/C57,Formas Manos Libres,Adulto,Amarillo-Naranja,Masculino,1,Romeiber Palacios,500
C50/C57,Formas Manos Libres,Adulto,Amarillo-Naranja,Masculino,2,Jostin Acosta,400
C106/C113,Combate,Adulto,Amarillo-Naranja,Masculino,1,Romeiber Palacios,500
C106/C113,Combate,Adulto,Amarillo-Naranja,Masculino,2,Justin Acosta,400
C107,Combate,Adulto,Purpura-Marron,Masculino,1,Anyel López,500
C138,Formas con Armas,Adulto,Amarillo-Naranja,Mixto,1,Justin Acosta,500
C138,Formas con Armas,Adulto,Amarillo-Naranja,Mixto,2,Romeiber Palacio,400
C105/C113,Combate,Adulto,Blanco-Celeste,Masculino,1,Reiner Jimenez,500
C49/C57,Formas Manos Libres,Adulto,Blanco-Celeste,Masculino,1,Reiner Jimenez,500
C139,Formas con Armas,Adulto,Verde-Marron,Mixto,1,Anyel López,500
C122,Formas Creativas,Adulto,Verde-Marron,Mixto,1,Anyel López,500
C124,Formas con Armas,Hasta 6 años,Blanco,Mixto,1,Pedro Pereira,500
C124,Formas con Armas,Hasta 6 años,Blanco,Mixto,2,Chayna Rodríguez,400
SIN_CATEGORIA_5A,Formas Creativas,Hasta 6 años,Blanco,Mixto,1,Chayna Rodríguez,500
SIN_CATEGORIA_5A,Formas Creativas,Hasta 6 años,Blanco,Mixto,2,Pedro Pereira,400
C126,Formas con Armas,Hasta 9 años,Blanco-Amarillo,Mixto,1,Ebert Riera,500
C126,Formas con Armas,Hasta 9 años,Blanco-Amarillo,Mixto,2,Joel Dorta,400
C126,Formas con Armas,Hasta 9 años,Blanco-Amarillo,Mixto,3,Reickellys Ferrer,300
SIN_CATEGORIA_5A,Formas Creativas,Hasta 9 años,Blanco-Amarillo,Mixto,1,Joel Dorta,500
SIN_CATEGORIA_5A,Formas Creativas,Hasta 9 años,Blanco-Amarillo,Mixto,2,Reickellys Ferrer,400
C126/C127,Formas con Armas,Hasta 9 años,Naranja-Negro,Mixto,1,Angelo Duran,500
C126/C127,Formas con Armas,Hasta 9 años,Naranja-Negro,Mixto,2,Alexander Tamayo,400
C126/C127,Formas con Armas,Hasta 9 años,Naranja-Negro,Mixto,3,Estheban Acuña,300
C04,Formas con Armas,Hasta 17 años,Todas la Cintas (Cat. Esp.),Mixto,1,Eros Balza,500
C04,Formas con Armas,Hasta 17 años,Todas la Cintas (Cat. Esp.),Mixto,2,Diego Cazañas,400
C01,Formas Manos Libres (Cap. Especial),Hasta 17 años,Todas la Cintas,Mixto,1,Eros Balaza,500
C01,Formas Manos Libres (Cap. Especial),Hasta 17 años,Todas la Cintas,Mixto,2,Diego Cazañas,400
C186,Combate,Master C Mas 50 Años,,Masculino,1,Bladimir Fernández,500
C63,Combate,4-5 años,Blanco-Celeste,Femenino,1,Reickellys Ferrer,500
C63,Combate,4-5 años,Blanco-Celeste,Femenino,2,Shayna Rodríguez,400
C61,Combate,4-5 años,Blanco-Celeste,Masculino,1,Victor Romero,500
C97,Combate,16-17 años,Blanco,Masculino,1,Daniel Diaz,500
C97,Combate,16-17 años,Blanco,Masculino,2,Raul Perez,400
C51,Formas Manos Libres,Adulto,Purpura-Marron,Masculino,1,Anyel Lopez,500
C117,Formas Creativas,Hasta 9 años,Naranja-Negro,Mixto,1,Alexander Tamayo,500
C117,Formas Creativas,Hasta 9 años,Naranja-Negro,Mixto,2,Angelo Duran,400
C132/C134/C135/C137,Formas con Armas,14-17 años,Naranja-Negro,Mixto,1,Angel Urbina,500
C132/C134/C135/C137,Formas con Armas,14-17 años,Naranja-Negro,Mixto,1,Josmary Olivero,500
C132/C134/C135/C137,Formas con Armas,14-17 años,Naranja-Negro,Mixto,2,Santiago Chacon,400
C120/C121,Formas Creativas,14-17 años,Naranja-Negro,Mixto,1,Josmary Olivero,500
C120/C121,Formas Creativas,14-17 años,Naranja-Negro,Mixto,2,Santiago Chacon,400
C120/C121,Formas Creativas,14-17 años,Naranja-Negro,Mixto,1,Angel Urbina,500
C175,Combate,18-29 años,Mediano 66-75kg,Masculino,1,Oscar Games,500
C19,Formas Manos Libres,10-11 años,Blanco-Celeste,Masculino,1,Javier Padilla,500
C19,Formas Manos Libres,10-11 años,Blanco-Celeste,Masculino,2,Yoelver Perez,400
C19,Formas Manos Libres,10-11 años,Blanco-Celeste,Masculino,3,Luis Lopez,300
C20,Formas Manos Libres,10-11 años,Amarillo-Naranja,Masculino,1,Isaac Castillo,500
